,time,open,low,high,close,volume
0,2020-11-30 10:46:00,4.46e-06,4.46e-06,4.46e-06,4.46e-06,14.40549385
1,2020-11-30 14:26:00,5.47e-06,5.47e-06,5.63e-06,5.63e-06,3287.54490328
2,2020-11-30 16:03:00,4.32e-06,4.32e-06,4.32e-06,4.32e-06,591.6157911
3,2020-11-30 17:04:00,4.32e-06,4.32e-06,4.32e-06,4.32e-06,911.72951302
4,2020-11-30 17:26:00,4.31e-06,4.31e-06,4.31e-06,4.31e-06,27154.7921094
5,2020-11-30 22:46:00,4.14e-06,4.14e-06,4.14e-06,4.14e-06,1435.63700341
6,2020-12-01 04:43:00,4.31e-06,4.31e-06,4.31e-06,4.31e-06,281.4125917
7,2020-12-01 14:32:00,4.31e-06,4.31e-06,4.31e-06,4.31e-06,2204.33764652
8,2020-12-01 15:19:00,4.31e-06,4.31e-06,4.31e-06,4.31e-06,737.38306264
9,2020-12-01 16:54:00,5.54e-06,5.54e-06,5.63e-06,5.63e-06,76568.11553516
10,2020-12-01 17:09:00,5.63e-06,4.65e-06,5.63e-06,4.65e-06,13207.95329655
11,2020-12-01 17:20:00,4.65e-06,4.65e-06,4.65e-06,4.65e-06,1181.78103129
12,2020-12-01 17:44:00,4.65e-06,4.65e-06,5.3e-06,5.3e-06,7343.40103518
13,2020-12-01 19:42:00,5.2e-06,5.2e-06,5.2e-06,5.2e-06,1067.22062767
14,2020-12-01 19:44:00,5.2e-06,5.2e-06,5.2e-06,5.2e-06,183.80463934
15,2020-12-02 00:15:00,4.64e-06,4.64e-06,4.64e-06,4.64e-06,110.37291975
16,2020-12-02 00:16:00,4.7e-06,4.7e-06,5.17e-06,5.17e-06,10134.08064228
17,2020-12-02 00:17:00,5.19e-06,5.19e-06,5.21e-06,5.21e-06,29324.21682699
18,2020-12-02 00:20:00,4.62e-06,4.62e-06,4.62e-06,4.62e-06,1901.19646354
19,2020-12-02 00:29:00,4.69e-06,4.69e-06,4.69e-06,4.69e-06,938.52
20,2020-12-02 00:30:00,4.78e-06,4.78e-06,4.78e-06,4.78e-06,953.0496989
21,2020-12-02 09:41:00,4.78e-06,4.78e-06,5.02e-06,5.02e-06,5246.30895878
22,2020-12-02 14:27:00,5.5e-06,5.5e-06,5.5e-06,5.5e-06,837.15280763
23,2020-12-02 14:28:00,5.5e-06,5.5e-06,5.5e-06,5.5e-06,514.66872727
24,2020-12-02 14:29:00,5.53e-06,5.53e-06,5.57e-06,5.56e-06,12499.07073449
25,2020-12-02 14:30:00,5.58e-06,5.5e-06,5.59e-06,5.52e-06,23558.85980271
26,2020-12-02 14:31:00,5.53e-06,5.5e-06,5.55e-06,5.55e-06,27538.10512057
27,2020-12-02 14:32:00,5.51e-06,5.5e-06,5.52e-06,5.5e-06,32648.5073732
28,2020-12-02 14:40:00,5.27e-06,5.27e-06,5.27e-06,5.27e-06,1662.21
29,2020-12-02 14:44:00,5.09e-06,5.09e-06,5.09e-06,5.09e-06,3345.42173669
30,2020-12-02 14:45:00,5.15e-06,5.15e-06,5.17e-06,5.17e-06,1664.69134958
31,2020-12-02 14:46:00,6.01e-06,6.01e-06,6.01e-06,6.01e-06,509.0
32,2020-12-02 15:53:00,5.48e-06,5.48e-06,5.48e-06,5.48e-06,160.9055564
33,2020-12-02 17:32:00,5.33e-06,5.33e-06,5.33e-06,5.33e-06,1741.34524586
34,2020-12-02 19:42:00,5.38e-06,5.38e-06,5.38e-06,5.38e-06,183.80463934
35,2020-12-02 23:52:00,5.98e-06,5.98e-06,6.08e-06,6.08e-06,54211.98884774
36,2020-12-02 23:54:00,6.06e-06,6.06e-06,6.07e-06,6.07e-06,4202.29893525
37,2020-12-03 00:05:00,6.22e-06,6.22e-06,6.22e-06,6.22e-06,800.0
38,2020-12-03 00:31:00,6.26e-06,6.26e-06,6.26e-06,6.26e-06,2001.34966099
39,2020-12-03 00:33:00,6.15e-06,6.15e-06,6.15e-06,6.15e-06,1706.66146354
40,2020-12-03 00:35:00,6.17e-06,6.17e-06,6.17e-06,6.17e-06,213.74146354
41,2020-12-03 00:36:00,6.07e-06,6.07e-06,6.07e-06,6.07e-06,616.69669063
42,2020-12-03 00:55:00,6.19e-06,6.19e-06,6.19e-06,6.19e-06,316.08789062
43,2020-12-03 01:07:00,6.49e-06,6.49e-06,6.49e-06,6.49e-06,450.89339568
44,2020-12-03 01:50:00,6.64e-06,6.64e-06,6.64e-06,6.64e-06,312.92701171
45,2020-12-03 01:55:00,6.8e-06,6.8e-06,6.8e-06,6.8e-06,1047.42
